example_id                              | status | run_time        |
--------------------------------------- | ------ | --------------- |
./spec/feature/auth_spec.rb[1:1:1]      | failed | 0.00005 seconds |
./spec/feature/auth_spec.rb[1:1:2]      | failed | 0.00005 seconds |
./spec/feature/auth_spec.rb[1:1:3]      | failed | 0.00006 seconds |
./spec/feature/auth_spec.rb[1:2:1:1]    | failed | 0.00006 seconds |
./spec/feature/auth_spec.rb[1:2:1:2]    | failed | 0.00011 seconds |
./spec/feature/auth_spec.rb[1:2:2:1]    | failed | 0.00007 seconds |
./spec/feature/auth_spec.rb[1:2:3:1]    | failed | 0.00009 seconds |
./spec/feature/auth_spec.rb[1:2:4:1]    | failed | 0.00006 seconds |
./spec/feature/auth_spec.rb[1:2:5:1]    | failed | 0.00007 seconds |
./spec/feature/auth_spec.rb[1:2:6:1]    | failed | 0.00007 seconds |
./spec/feature/auth_spec.rb[1:2:7:1]    | failed | 0.0001 seconds  |
./spec/unit/auth_usecase_spec.rb[1:1:2] | failed | 0.00711 seconds |
